omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][App] App Name: GNBSIM
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][App] Setting log level to: debug
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][GNodeB][gnb1] GNodeB IP:  GNodeB Port: 9487
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][GNodeB][UserPlaneTransport] User Plane transport listening on: 192.168.72.171:2152
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][GNodeB] Current range selector value: 205
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][GNodeB] Current ID range start: 3439329280 end: 3456106495
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][GNodeB][ControlPlaneTransport] Connected to AMF, AMF IP: 192.168.70.132 AMF Port: 38412
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][GNodeB][ControlPlaneTransport] Wrote 61 bytes
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][GNodeB][ControlPlaneTransport] Read 552 bytes from 192.168.70.132:38412
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][GNodeB][gnb1] NG Setup Successful: true
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][Profile][profile1] Init profile: profile1 , profile type: register
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][GNodeB][GnbUeDao] Adding new GnbCpUe for RANUENGAPID: 3439329280
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][SimUe][imsi-208950000000031] Connected to gNodeB, Name:gnb1, IP:, Port:9487
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][SimUe][imsi-208950000000031] SIM UE Init complete
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][GNodeB][GnbUeDao] Adding new GnbCpUe for RANUENGAPID: 3439329281
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][SimUe][imsi-208950000000032] Connected to gNodeB, Name:gnb1, IP:, Port:9487
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][SimUe][imsi-208950000000032] SIM UE Init complete
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][GNodeB][GnbUeDao] Adding new GnbCpUe for RANUENGAPID: 3439329282
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][SimUe][imsi-208950000000033] Connected to gNodeB, Name:gnb1, IP:, Port:9487
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][GNodeB][GnbCpUe][3439329280] Handling event: CONNECTION-REQUEST-EVENT
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][SimUe][imsi-208950000000033] SIM UE Init complete
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][GNodeB][GnbUeDao] Adding new GnbCpUe for RANUENGAPID: 3439329283
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][GNodeB][GnbCpUe][3439329282] Handling event: CONNECTION-REQUEST-EVENT
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][SimUe][imsi-208950000000034] Connected to gNodeB, Name:gnb1, IP:, Port:9487
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][GNodeB][GnbCpUe][3439329281] Handling event: CONNECTION-REQUEST-EVENT
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][GNodeB][GnbCpUe][3439329283] Handling event: CONNECTION-REQUEST-EVENT
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][SimUe][imsi-208950000000034] SIM UE Init complete
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][GNodeB][GnbUeDao] Adding new GnbCpUe for RANUENGAPID: 3439329284
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][SimUe][imsi-208950000000035] Connected to gNodeB, Name:gnb1, IP:, Port:9487
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][SimUe][imsi-208950000000035] SIM UE Init complete
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][Profile][profile1] ExecuteProfile started
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][GNodeB][GnbCpUe][3439329284] Handling event: CONNECTION-REQUEST-EVENT
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][Profile][profile1] ExecuteProfile ExecInParallel true. Waiting for for all UEs to finish processing
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][ProfUeCtx][imsi-208950000000032] Execute procedure  REGISTRATION-PROCEDURE
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][ProfUeCtx][imsi-208950000000033] Execute procedure  REGISTRATION-PROCEDURE
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][ProfUeCtx][imsi-208950000000032] Waiting for procedure result from imsiStateMachine
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][ProfUeCtx][imsi-208950000000031] Execute procedure  REGISTRATION-PROCEDURE
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][ProfUeCtx][imsi-208950000000033] Waiting for procedure result from imsiStateMachine
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][SimUe][imsi-208950000000032] Handling event: PROC-START-EVENT
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][ProfUeCtx][imsi-208950000000034] Execute procedure  REGISTRATION-PROCEDURE
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][SimUe][imsi-208950000000032] Start new procedure  REGISTRATION-PROCEDURE
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][SimUe][imsi-208950000000032] Initiating Registration Procedure
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][SimUe][imsi-208950000000031] Handling event: PROC-START-EVENT
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][SimUe][imsi-208950000000031] Start new procedure  REGISTRATION-PROCEDURE
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][SimUe][imsi-208950000000033] Handling event: PROC-START-EVENT
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][ProfUeCtx][imsi-208950000000035] Execute procedure  REGISTRATION-PROCEDURE
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][ProfUeCtx][imsi-208950000000034] Waiting for procedure result from imsiStateMachine
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][SimUe][imsi-208950000000031] Initiating Registration Procedure
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][ProfUeCtx][imsi-208950000000035] Waiting for procedure result from imsiStateMachine
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][RealUe][imsi-208950000000031] Handling: REGESTRATION-REQUEST-EVENT
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][SimUe][imsi-208950000000033] Start new procedure  REGISTRATION-PROCEDURE
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][SimUe][imsi-208950000000034] Handling event: PROC-START-EVENT
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][SimUe][imsi-208950000000034] Start new procedure  REGISTRATION-PROCEDURE
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][RealUe][imsi-208950000000032] Handling: REGESTRATION-REQUEST-EVENT
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][ProfUeCtx][imsi-208950000000031] Waiting for procedure result from imsiStateMachine
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][SimUe][imsi-208950000000034] Initiating Registration Procedure
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][SimUe][imsi-208950000000035] Handling event: PROC-START-EVENT
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][RealUe][imsi-208950000000034] Handling: REGESTRATION-REQUEST-EVENT
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][SimUe][imsi-208950000000035] Start new procedure  REGISTRATION-PROCEDURE
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][SimUe][imsi-208950000000035] Initiating Registration Procedure
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][SimUe][imsi-208950000000033] Initiating Registration Procedure
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][RealUe][imsi-208950000000035] Handling: REGESTRATION-REQUEST-EVENT
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][SimUe][imsi-208950000000034] Handling event: REGESTRATION-REQUEST-EVENT
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][SimUe][imsi-208950000000032] Handling event: REGESTRATION-REQUEST-EVENT
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][RealUe][imsi-208950000000033] Handling: REGESTRATION-REQUEST-EVENT
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][SimUe][imsi-208950000000031] Handling event: REGESTRATION-REQUEST-EVENT
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][GNodeB][GnbCpUe][3439329281] Handling event: REGESTRATION-REQUEST-EVENT
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][GNodeB][GnbCpUe][3439329283] Handling event: REGESTRATION-REQUEST-EVENT
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][SimUe][imsi-208950000000035] Handling event: REGESTRATION-REQUEST-EVENT
omec-gnbsim-vpp    | 2023-01-16T10:26:57Z [INFO][GNBSIM][GNodeB][GnbCpUe][3439329280] Handling event: REGESTRATION-REQUEST-EVENT
